code postal;date;nombre d'inscrits;Code_commune_INSEE;Nom_commune
97412;2016-10-31;2530;97402;BRAS PANON
97412;2017-02-28;2480;97402;BRAS PANON
97412;2017-03-31;2490;97402;BRAS PANON
97412;2017-05-31;2460;97402;BRAS PANON
97412;2017-08-31;2530;97402;BRAS PANON
97412;2017-09-30;2510;97402;BRAS PANON
97412;2017-11-30;2470;97402;BRAS PANON
97412;2018-10-31;2460;97402;BRAS PANON
97412;2018-11-30;2460;97402;BRAS PANON
97412;2019-03-31;2450;97402;BRAS PANON
97412;2019-04-30;2430;97402;BRAS PANON
97412;2019-06-30;2410;97402;BRAS PANON
97412;2019-11-30;2330;97402;BRAS PANON
97412;2020-01-31;2370;97402;BRAS PANON
97412;2020-06-30;2350;97402;BRAS PANON
97412;2020-10-31;2380;97402;BRAS PANON
97412;2020-11-30;2370;97402;BRAS PANON
97412;2021-08-31;2420;97402;BRAS PANON
97412;2021-11-30;2370;97402;BRAS PANON
97412;2022-01-31;2370;97402;BRAS PANON
97412;2022-02-28;2360;97402;BRAS PANON
97412;2022-03-31;2380;97402;BRAS PANON
97412;2022-05-31;2380;97402;BRAS PANON
97412;2022-07-31;2380;97402;BRAS PANON
97412;2022-08-31;2400;97402;BRAS PANON
97413;2017-02-28;1710;97424;CILAOS
97413;2017-04-30;1670;97424;CILAOS
97413;2017-05-31;1680;97424;CILAOS
97413;2017-07-31;1680;97424;CILAOS
97412;2016-09-30;2550;97402;BRAS PANON
97413;2017-08-31;1670;97424;CILAOS
97412;2016-11-30;2540;97402;BRAS PANON
97413;2018-02-28;1660;97424;CILAOS
97412;2016-12-31;2490;97402;BRAS PANON
97413;2018-04-30;1670;97424;CILAOS
97412;2017-04-30;2450;97402;BRAS PANON
97413;2018-06-30;1660;97424;CILAOS
97412;2017-06-30;2450;97402;BRAS PANON
97413;2018-07-31;1680;97424;CILAOS
97412;2017-07-31;2490;97402;BRAS PANON
97413;2018-08-31;1680;97424;CILAOS
97412;2017-10-31;2510;97402;BRAS PANON
97413;2018-09-30;1650;97424;CILAOS
97412;2018-02-28;2540;97402;BRAS PANON
97413;2018-11-30;1650;97424;CILAOS
97412;2018-04-30;2510;97402;BRAS PANON
97413;2018-12-31;1660;97424;CILAOS
97412;2018-06-30;2420;97402;BRAS PANON
97413;2019-01-31;1660;97424;CILAOS
97412;2018-07-31;2440;97402;BRAS PANON
97413;2019-07-31;1640;97424;CILAOS
97412;2018-08-31;2480;97402;BRAS PANON
97413;2019-12-31;1590;97424;CILAOS
97412;2019-01-31;2470;97402;BRAS PANON
97413;2020-05-31;1580;97424;CILAOS
97412;2019-02-28;2480;97402;BRAS PANON
97413;2020-07-31;1580;97424;CILAOS
97412;2019-07-31;2380;97402;BRAS PANON
97413;2020-11-30;1600;97424;CILAOS
97412;2019-08-31;2390;97402;BRAS PANON
97413;2021-01-31;1610;97424;CILAOS
97412;2019-09-30;2390;97402;BRAS PANON
97413;2021-04-30;1620;97424;CILAOS
97412;2020-02-29;2370;97402;BRAS PANON
97413;2021-06-30;1620;97424;CILAOS
97412;2020-04-30;2370;97402;BRAS PANON
97413;2021-07-31;1630;97424;CILAOS
97412;2020-05-31;2350;97402;BRAS PANON
97413;2021-08-31;1650;97424;CILAOS
97412;2020-07-31;2380;97402;BRAS PANON
97413;2022-08-31;1570;97424;CILAOS
97412;2020-12-31;2390;97402;BRAS PANON
97413;2022-10-31;1550;97424;CILAOS
97412;2021-05-31;2420;97402;BRAS PANON
97414;2016-08-31;1460;97403;ENTRE DEUX
97412;2021-06-30;2410;97402;BRAS PANON
97414;2016-12-31;1470;97403;ENTRE DEUX
97412;2021-07-31;2400;97402;BRAS PANON
97414;2017-05-31;1500;97403;ENTRE DEUX
97412;2022-06-30;2350;97402;BRAS PANON
97414;2017-07-31;1470;97403;ENTRE DEUX
97412;2022-09-30;2380;97402;BRAS PANON
97414;2017-11-30;1480;97403;ENTRE DEUX
97412;2022-12-31;2390;97402;BRAS PANON
97414;2018-03-31;1490;97403;ENTRE DEUX
97413;2016-10-31;1690;97424;CILAOS
97414;2018-04-30;1480;97403;ENTRE DEUX
97413;2016-12-31;1680;97424;CILAOS
97414;2018-05-31;1480;97403;ENTRE DEUX
97413;2017-03-31;1700;97424;CILAOS
97414;2018-06-30;1450;97403;ENTRE DEUX
97413;2017-06-30;1670;97424;CILAOS
97414;2018-09-30;1490;97403;ENTRE DEUX
97413;2017-10-31;1670;97424;CILAOS
97414;2018-11-30;1480;97403;ENTRE DEUX
97413;2017-11-30;1670;97424;CILAOS
97414;2019-02-28;1480;97403;ENTRE DEUX
97413;2018-05-31;1690;97424;CILAOS
97414;2019-07-31;1440;97403;ENTRE DEUX
97413;2019-02-28;1670;97424;CILAOS
97414;2019-09-30;1450;97403;ENTRE DEUX
97413;2019-03-31;1670;97424;CILAOS
97414;2020-01-31;1460;97403;ENTRE DEUX
97413;2019-04-30;1650;97424;CILAOS
97414;2020-04-30;1430;97403;ENTRE DEUX
97413;2019-05-31;1620;97424;CILAOS
97414;2020-11-30;1430;97403;ENTRE DEUX
97413;2019-06-30;1620;97424;CILAOS
97414;2020-12-31;1430;97403;ENTRE DEUX
97413;2019-08-31;1640;97424;CILAOS
97414;2021-01-31;1430;97403;ENTRE DEUX
97413;2019-11-30;1590;97424;CILAOS
97414;2021-05-31;1430;97403;ENTRE DEUX
97413;2020-01-31;1600;97424;CILAOS
97414;2021-06-30;1410;97403;ENTRE DEUX
97413;2020-03-31;1580;97424;CILAOS
97414;2021-11-30;1420;97403;ENTRE DEUX
97413;2020-04-30;1590;97424;CILAOS
97414;2022-01-31;1400;97403;ENTRE DEUX
97413;2020-06-30;1570;97424;CILAOS
97414;2022-03-31;1390;97403;ENTRE DEUX
97413;2020-08-31;1600;97424;CILAOS
97414;2022-05-31;1370;97403;ENTRE DEUX
97413;2020-10-31;1600;97424;CILAOS
97414;2022-07-31;1360;97403;ENTRE DEUX
97413;2020-12-31;1610;97424;CILAOS
97414;2022-08-31;1390;97403;ENTRE DEUX
97413;2021-02-28;1610;97424;CILAOS
97414;2022-10-31;1400;97403;ENTRE DEUX
97413;2021-05-31;1620;97424;CILAOS
97431;2016-12-31;1230;97406;LA PLAINE DES PALMISTES
97413;2021-09-30;1650;97424;CILAOS
97431;2017-03-31;1250;97406;LA PLAINE DES PALMISTES
97413;2021-10-31;1630;97424;CILAOS
97431;2017-08-31;1220;97406;LA PLAINE DES PALMISTES
97413;2022-09-30;1560;97424;CILAOS
97431;2017-09-30;1210;97406;LA PLAINE DES PALMISTES
97413;2022-11-30;1520;97424;CILAOS
97431;2017-10-31;1220;97406;LA PLAINE DES PALMISTES
97413;2022-12-31;1530;97424;CILAOS
97431;2018-01-31;1210;97406;LA PLAINE DES PALMISTES
97414;2016-07-31;1440;97403;ENTRE DEUX
97431;2018-04-30;1200;97406;LA PLAINE DES PALMISTES
97412;2016-07-31;2510;97402;BRAS PANON
97414;2016-09-30;1450;97403;ENTRE DEUX
97431;2018-05-31;1190;97406;LA PLAINE DES PALMISTES
97412;2016-08-31;2590;97402;BRAS PANON
97414;2016-10-31;1450;97403;ENTRE DEUX
97431;2018-10-31;1200;97406;LA PLAINE DES PALMISTES
97412;2017-01-31;2500;97402;BRAS PANON
97414;2017-01-31;1500;97403;ENTRE DEUX
97431;2019-01-31;1220;97406;LA PLAINE DES PALMISTES
97412;2017-12-31;2450;97402;BRAS PANON
97414;2017-03-31;1490;97403;ENTRE DEUX
97431;2019-03-31;1190;97406;LA PLAINE DES PALMISTES
97412;2018-01-31;2520;97402;BRAS PANON
97414;2017-04-30;1510;97403;ENTRE DEUX
97431;2019-04-30;1190;97406;LA PLAINE DES PALMISTES
97412;2018-03-31;2520;97402;BRAS PANON
97414;2017-06-30;1470;97403;ENTRE DEUX
97431;2019-05-31;1180;97406;LA PLAINE DES PALMISTES
97412;2018-05-31;2480;97402;BRAS PANON
97414;2017-09-30;1470;97403;ENTRE DEUX
97431;2019-06-30;1190;97406;LA PLAINE DES PALMISTES
97412;2018-09-30;2460;97402;BRAS PANON
97414;2018-02-28;1510;97403;ENTRE DEUX
97431;2020-10-31;1210;97406;LA PLAINE DES PALMISTES
97412;2018-12-31;2430;97402;BRAS PANON
97414;2018-07-31;1480;97403;ENTRE DEUX
97431;2021-02-28;1240;97406;LA PLAINE DES PALMISTES
97412;2019-05-31;2410;97402;BRAS PANON
97414;2018-08-31;1490;97403;ENTRE DEUX
97431;2021-07-31;1200;97406;LA PLAINE DES PALMISTES
97412;2019-10-31;2380;97402;BRAS PANON
97414;2018-10-31;1490;97403;ENTRE DEUX
97431;2021-10-31;1210;97406;LA PLAINE DES PALMISTES
97412;2019-12-31;2310;97402;BRAS PANON
97414;2019-03-31;1460;97403;ENTRE DEUX
97431;2021-12-31;1180;97406;LA PLAINE DES PALMISTES
97412;2020-03-31;2360;97402;BRAS PANON
97414;2019-06-30;1430;97403;ENTRE DEUX
97431;2022-04-30;1240;97406;LA PLAINE DES PALMISTES
97412;2020-08-31;2370;97402;BRAS PANON
97414;2019-11-30;1430;97403;ENTRE DEUX
97431;2022-05-31;1250;97406;LA PLAINE DES PALMISTES
97412;2020-09-30;2390;97402;BRAS PANON
97414;2019-12-31;1420;97403;ENTRE DEUX
97431;2022-09-30;1280;97406;LA PLAINE DES PALMISTES
97412;2021-01-31;2440;97402;BRAS PANON
97414;2020-03-31;1440;97403;ENTRE DEUX
97431;2022-10-31;1290;97406;LA PLAINE DES PALMISTES
97412;2021-02-28;2460;97402;BRAS PANON
97414;2020-05-31;1430;97403;ENTRE DEUX
97431;2022-11-30;1310;97406;LA PLAINE DES PALMISTES
97412;2021-03-31;2450;97402;BRAS PANON
97414;2020-06-30;1410;97403;ENTRE DEUX
97419;2016-11-30;5720;97408;LA POSSESSION
97412;2021-04-30;2420;97402;BRAS PANON
97414;2020-07-31;1400;97403;ENTRE DEUX
97419;2017-02-28;5820;97408;LA POSSESSION
97412;2021-09-30;2420;97402;BRAS PANON
97414;2020-08-31;1420;97403;ENTRE DEUX
97419;2017-08-31;5960;97408;LA POSSESSION
97412;2021-10-31;2390;97402;BRAS PANON
97414;2021-04-30;1430;97403;ENTRE DEUX
97419;2017-10-31;6030;97408;LA POSSESSION
97412;2021-12-31;2380;97402;BRAS PANON
97414;2021-09-30;1440;97403;ENTRE DEUX
97419;2018-06-30;6050;97408;LA POSSESSION
97412;2022-04-30;2370;97402;BRAS PANON
97414;2021-10-31;1430;97403;ENTRE DEUX
97419;2018-07-31;6140;97408;LA POSSESSION
97412;2022-10-31;2370;97402;BRAS PANON
97414;2021-12-31;1400;97403;ENTRE DEUX
97419;2018-10-31;6250;97408;LA POSSESSION
97412;2022-11-30;2420;97402;BRAS PANON
97414;2022-04-30;1380;97403;ENTRE DEUX
97419;2018-11-30;6130;97408;LA POSSESSION
97413;2016-07-31;1710;97424;CILAOS
97414;2022-11-30;1400;97403;ENTRE DEUX
97419;2019-04-30;6370;97408;LA POSSESSION
97413;2016-08-31;1710;97424;CILAOS
97431;2016-08-31;1210;97406;LA PLAINE DES PALMISTES
97419;2019-06-30;6360;97408;LA POSSESSION
97413;2016-09-30;1720;97424;CILAOS
97431;2016-09-30;1240;97406;LA PLAINE DES PALMISTES
97419;2019-09-30;6530;97408;LA POSSESSION
97413;2016-11-30;1670;97424;CILAOS
97431;2016-10-31;1240;97406;LA PLAINE DES PALMISTES
97419;2019-12-31;6300;97408;LA POSSESSION
97413;2017-01-31;1700;97424;CILAOS
97431;2016-11-30;1240;97406;LA PLAINE DES PALMISTES
97419;2020-03-31;6320;97408;LA POSSESSION
97413;2017-09-30;1670;97424;CILAOS
97431;2017-02-28;1230;97406;LA PLAINE DES PALMISTES
97419;2020-04-30;6370;97408;LA POSSESSION
97413;2017-12-31;1670;97424;CILAOS
97431;2017-06-30;1190;97406;LA PLAINE DES PALMISTES
97419;2020-08-31;6470;97408;LA POSSESSION
97413;2018-01-31;1670;97424;CILAOS
97431;2017-07-31;1180;97406;LA PLAINE DES PALMISTES
97419;2020-09-30;6530;97408;LA POSSESSION
97413;2018-03-31;1670;97424;CILAOS
97431;2017-11-30;1200;97406;LA PLAINE DES PALMISTES
97419;2020-10-31;6440;97408;LA POSSESSION
97413;2018-10-31;1650;97424;CILAOS
97431;2018-07-31;1210;97406;LA PLAINE DES PALMISTES
97419;2020-12-31;6400;97408;LA POSSESSION
97413;2019-09-30;1640;97424;CILAOS
97431;2018-11-30;1200;97406;LA PLAINE DES PALMISTES
97419;2021-03-31;6430;97408;LA POSSESSION
97413;2019-10-31;1630;97424;CILAOS
97431;2018-12-31;1170;97406;LA PLAINE DES PALMISTES
97419;2021-06-30;6350;97408;LA POSSESSION
97413;2020-02-29;1590;97424;CILAOS
97431;2019-02-28;1210;97406;LA PLAINE DES PALMISTES
97419;2021-08-31;6530;97408;LA POSSESSION
97413;2020-09-30;1600;97424;CILAOS
97431;2019-10-31;1200;97406;LA PLAINE DES PALMISTES
97419;2021-11-30;6520;97408;LA POSSESSION
97413;2021-03-31;1610;97424;CILAOS
97431;2020-01-31;1200;97406;LA PLAINE DES PALMISTES
97419;2022-08-31;6470;97408;LA POSSESSION
97413;2021-11-30;1620;97424;CILAOS
97431;2020-02-29;1180;97406;LA PLAINE DES PALMISTES
97419;2022-09-30;6490;97408;LA POSSESSION
97413;2021-12-31;1590;97424;CILAOS
97431;2020-04-30;1190;97406;LA PLAINE DES PALMISTES
97420;2016-07-31;8340;97407;LE PORT
97413;2022-01-31;1600;97424;CILAOS
97431;2020-05-31;1190;97406;LA PLAINE DES PALMISTES
97420;2016-08-31;8560;97407;LE PORT
97413;2022-02-28;1600;97424;CILAOS
97431;2020-07-31;1210;97406;LA PLAINE DES PALMISTES
97420;2016-11-30;8670;97407;LE PORT
97413;2022-03-31;1620;97424;CILAOS
97431;2020-08-31;1240;97406;LA PLAINE DES PALMISTES
97420;2016-12-31;8510;97407;LE PORT
97413;2022-04-30;1560;97424;CILAOS
97431;2020-11-30;1210;97406;LA PLAINE DES PALMISTES
97420;2017-02-28;8530;97407;LE PORT
97413;2022-05-31;1590;97424;CILAOS
97431;2021-01-31;1240;97406;LA PLAINE DES PALMISTES
97420;2017-04-30;8520;97407;LE PORT
97413;2022-06-30;1560;97424;CILAOS
97431;2021-03-31;1260;97406;LA PLAINE DES PALMISTES
97420;2017-09-30;8690;97407;LE PORT
97413;2022-07-31;1560;97424;CILAOS
97431;2021-08-31;1210;97406;LA PLAINE DES PALMISTES
97420;2017-10-31;8660;97407;LE PORT
97414;2016-11-30;1480;97403;ENTRE DEUX
97431;2022-02-28;1220;97406;LA PLAINE DES PALMISTES
97420;2017-11-30;8600;97407;LE PORT
97414;2017-02-28;1490;97403;ENTRE DEUX
97431;2022-08-31;1270;97406;LA PLAINE DES PALMISTES
97420;2018-01-31;8570;97407;LE PORT
97414;2017-08-31;1480;97403;ENTRE DEUX
97431;2022-12-31;1300;97406;LA PLAINE DES PALMISTES
97420;2018-05-31;8600;97407;LE PORT
97414;2017-10-31;1470;97403;ENTRE DEUX
97419;2016-08-31;5760;97408;LA POSSESSION
97420;2018-08-31;8740;97407;LE PORT
97414;2017-12-31;1470;97403;ENTRE DEUX
97419;2016-09-30;5780;97408;LA POSSESSION
97420;2018-09-30;8680;97407;LE PORT
97414;2018-01-31;1490;97403;ENTRE DEUX
97419;2016-12-31;5660;97408;LA POSSESSION
97420;2018-12-31;8440;97407;LE PORT
97414;2018-12-31;1460;97403;ENTRE DEUX
97419;2017-01-31;5820;97408;LA POSSESSION
97420;2019-01-31;8560;97407;LE PORT
97414;2019-01-31;1480;97403;ENTRE DEUX
97419;2017-04-30;5710;97408;LA POSSESSION
97420;2019-06-30;8460;97407;LE PORT
97414;2019-04-30;1430;97403;ENTRE DEUX
97419;2017-06-30;5730;97408;LA POSSESSION
97420;2019-08-31;8520;97407;LE PORT
97414;2019-05-31;1430;97403;ENTRE DEUX
97419;2017-12-31;5930;97408;LA POSSESSION
97420;2019-09-30;8590;97407;LE PORT
97414;2019-08-31;1460;97403;ENTRE DEUX
97419;2018-04-30;6050;97408;LA POSSESSION
97420;2019-10-31;8490;97407;LE PORT
97414;2019-10-31;1460;97403;ENTRE DEUX
97419;2018-09-30;6220;97408;LA POSSESSION
97420;2020-04-30;8180;97407;LE PORT
97414;2020-02-29;1440;97403;ENTRE DEUX
97419;2018-12-31;6170;97408;LA POSSESSION
97420;2020-12-31;8220;97407;LE PORT
97414;2020-09-30;1430;97403;ENTRE DEUX
97419;2019-01-31;6270;97408;LA POSSESSION
97420;2021-03-31;8240;97407;LE PORT
97414;2020-10-31;1420;97403;ENTRE DEUX
97419;2019-02-28;6280;97408;LA POSSESSION
97420;2021-04-30;8130;97407;LE PORT
97414;2021-02-28;1440;97403;ENTRE DEUX
97419;2019-03-31;6300;97408;LA POSSESSION
97420;2021-07-31;8140;97407;LE PORT
97414;2021-03-31;1430;97403;ENTRE DEUX
97419;2019-05-31;6350;97408;LA POSSESSION
97420;2021-10-31;8180;97407;LE PORT
97414;2021-07-31;1460;97403;ENTRE DEUX
97419;2019-11-30;6380;97408;LA POSSESSION
97420;2021-12-31;8050;97407;LE PORT
97414;2021-08-31;1450;97403;ENTRE DEUX
97419;2020-01-31;6320;97408;LA POSSESSION
97430;2017-10-31;18130;97422;LE TAMPON
97414;2022-02-28;1380;97403;ENTRE DEUX
97419;2020-02-29;6300;97408;LA POSSESSION
97430;2017-11-30;18070;97422;LE TAMPON
97414;2022-06-30;1360;97403;ENTRE DEUX
97419;2020-07-31;6440;97408;LA POSSESSION
97430;2018-03-31;18070;97422;LE TAMPON
97414;2022-09-30;1390;97403;ENTRE DEUX
97419;2020-11-30;6400;97408;LA POSSESSION
97430;2018-07-31;17830;97422;LE TAMPON
97414;2022-12-31;1400;97403;ENTRE DEUX
97419;2021-07-31;6440;97408;LA POSSESSION
97430;2018-09-30;17880;97422;LE TAMPON
97431;2016-07-31;1180;97406;LA PLAINE DES PALMISTES
97419;2021-09-30;6540;97408;LA POSSESSION
97430;2019-03-31;17810;97422;LE TAMPON
97431;2017-01-31;1240;97406;LA PLAINE DES PALMISTES
97419;2021-12-31;6500;97408;LA POSSESSION
97430;2019-05-31;17590;97422;LE TAMPON
97431;2017-04-30;1220;97406;LA PLAINE DES PALMISTES
97419;2022-01-31;6480;97408;LA POSSESSION
97430;2019-12-31;17340;97422;LE TAMPON
97431;2017-05-31;1210;97406;LA PLAINE DES PALMISTES
97419;2022-03-31;6500;97408;LA POSSESSION
97430;2020-03-31;17360;97422;LE TAMPON
97431;2017-12-31;1190;97406;LA PLAINE DES PALMISTES
97419;2022-04-30;6390;97408;LA POSSESSION
97430;2020-05-31;17390;97422;LE TAMPON
97431;2018-02-28;1220;97406;LA PLAINE DES PALMISTES
97419;2022-10-31;6450;97408;LA POSSESSION
97430;2020-11-30;17430;97422;LE TAMPON
97431;2018-03-31;1230;97406;LA PLAINE DES PALMISTES
97419;2022-12-31;6350;97408;LA POSSESSION
97430;2021-02-28;17620;97422;LE TAMPON
97431;2018-06-30;1200;97406;LA PLAINE DES PALMISTES
97420;2016-09-30;8550;97407;LE PORT
97430;2021-08-31;17510;97422;LE TAMPON
97431;2018-08-31;1240;97406;LA PLAINE DES PALMISTES
97420;2017-01-31;8640;97407;LE PORT
97430;2021-11-30;17340;97422;LE TAMPON
97431;2018-09-30;1230;97406;LA PLAINE DES PALMISTES
97420;2017-07-31;8500;97407;LE PORT
97430;2021-12-31;17180;97422;LE TAMPON
97431;2019-07-31;1220;97406;LA PLAINE DES PALMISTES
97420;2017-08-31;8690;97407;LE PORT
97430;2022-05-31;16950;97422;LE TAMPON
97431;2019-08-31;1230;97406;LA PLAINE DES PALMISTES
97420;2017-12-31;8410;97407;LE PORT
97425;2016-07-31;2040;97401;LES AVIRONS
97431;2019-09-30;1210;97406;LA PLAINE DES PALMISTES
97420;2018-02-28;8660;97407;LE PORT
97425;2016-10-31;2100;97401;LES AVIRONS
97431;2019-11-30;1170;97406;LA PLAINE DES PALMISTES
97420;2018-06-30;8580;97407;LE PORT
97425;2017-04-30;2100;97401;LES AVIRONS
97431;2019-12-31;1170;97406;LA PLAINE DES PALMISTES
97420;2018-07-31;8650;97407;LE PORT
97425;2017-05-31;2110;97401;LES AVIRONS
97431;2020-03-31;1180;97406;LA PLAINE DES PALMISTES
97420;2019-02-28;8570;97407;LE PORT
97425;2018-02-28;2120;97401;LES AVIRONS
97431;2020-06-30;1200;97406;LA PLAINE DES PALMISTES
97420;2019-03-31;8580;97407;LE PORT
97425;2018-03-31;2130;97401;LES AVIRONS
97431;2020-09-30;1240;97406;LA PLAINE DES PALMISTES
97420;2019-04-30;8510;97407;LE PORT
97425;2018-07-31;2140;97401;LES AVIRONS
97431;2020-12-31;1230;97406;LA PLAINE DES PALMISTES
97420;2019-05-31;8380;97407;LE PORT
97425;2018-12-31;2170;97401;LES AVIRONS
97431;2021-04-30;1220;97406;LA PLAINE DES PALMISTES
97420;2020-01-31;8170;97407;LE PORT
97425;2019-02-28;2220;97401;LES AVIRONS
97431;2021-05-31;1210;97406;LA PLAINE DES PALMISTES
97420;2020-05-31;8170;97407;LE PORT
97425;2019-04-30;2210;97401;LES AVIRONS
97431;2021-06-30;1210;97406;LA PLAINE DES PALMISTES
97420;2020-06-30;8260;97407;LE PORT
97425;2019-05-31;2220;97401;LES AVIRONS
97431;2021-09-30;1230;97406;LA PLAINE DES PALMISTES
97420;2020-07-31;8250;97407;LE PORT
97425;2019-08-31;2230;97401;LES AVIRONS
97431;2021-11-30;1220;97406;LA PLAINE DES PALMISTES
97420;2020-08-31;8370;97407;LE PORT
97425;2019-12-31;2150;97401;LES AVIRONS
97431;2022-01-31;1190;97406;LA PLAINE DES PALMISTES
97420;2020-09-30;8430;97407;LE PORT
97425;2020-03-31;2160;97401;LES AVIRONS
97431;2022-03-31;1250;97406;LA PLAINE DES PALMISTES
97420;2021-01-31;8210;97407;LE PORT
97425;2020-04-30;2180;97401;LES AVIRONS
97431;2022-06-30;1230;97406;LA PLAINE DES PALMISTES
97420;2021-05-31;8130;97407;LE PORT
97425;2020-05-31;2200;97401;LES AVIRONS
97431;2022-07-31;1250;97406;LA PLAINE DES PALMISTES
97420;2021-08-31;8260;97407;LE PORT
97425;2020-06-30;2220;97401;LES AVIRONS
97419;2016-07-31;5690;97408;LA POSSESSION
97420;2021-09-30;8260;97407;LE PORT
97425;2020-11-30;2200;97401;LES AVIRONS
97419;2016-10-31;5770;97408;LA POSSESSION
97420;2021-11-30;8140;97407;LE PORT
97425;2021-01-31;2230;97401;LES AVIRONS
97419;2017-03-31;5730;97408;LA POSSESSION
97420;2022-02-28;8040;97407;LE PORT
97425;2021-03-31;2210;97401;LES AVIRONS
97419;2017-05-31;5740;97408;LA POSSESSION
97420;2022-03-31;8100;97407;LE PORT
97425;2021-05-31;2220;97401;LES AVIRONS
97419;2017-07-31;5770;97408;LA POSSESSION
97420;2022-04-30;7950;97407;LE PORT
97425;2021-06-30;2230;97401;LES AVIRONS
97419;2017-09-30;5940;97408;LA POSSESSION
97420;2022-05-31;7870;97407;LE PORT
97425;2021-09-30;2220;97401;LES AVIRONS
97419;2017-11-30;6010;97408;LA POSSESSION
97420;2022-06-30;7880;97407;LE PORT
97425;2022-01-31;2210;97401;LES AVIRONS
97419;2018-01-31;6040;97408;LA POSSESSION
97420;2022-11-30;7890;97407;LE PORT
97425;2022-02-28;2200;97401;LES AVIRONS
97419;2018-02-28;6060;97408;LA POSSESSION
97430;2016-07-31;17230;97422;LE TAMPON
97425;2022-03-31;2180;97401;LES AVIRONS
97419;2018-03-31;6040;97408;LA POSSESSION
97430;2016-09-30;17780;97422;LE TAMPON
97425;2022-04-30;2170;97401;LES AVIRONS
97419;2018-05-31;6080;97408;LA POSSESSION
97430;2016-12-31;17900;97422;LE TAMPON
97426;2016-08-31;1790;97423;LES TROIS BASSINS
97419;2018-08-31;6210;97408;LA POSSESSION
97430;2017-01-31;18160;97422;LE TAMPON
97426;2016-09-30;1800;97423;LES TROIS BASSINS
97419;2019-07-31;6450;97408;LA POSSESSION
97430;2017-02-28;18070;97422;LE TAMPON
97426;2016-10-31;1820;97423;LES TROIS BASSINS
97419;2019-08-31;6520;97408;LA POSSESSION
97430;2017-06-30;18040;97422;LE TAMPON
97426;2017-04-30;1790;97423;LES TROIS BASSINS
97419;2019-10-31;6530;97408;LA POSSESSION
97430;2017-08-31;18280;97422;LE TAMPON
97426;2017-10-31;1810;97423;LES TROIS BASSINS
97419;2020-05-31;6370;97408;LA POSSESSION
97430;2017-09-30;18170;97422;LE TAMPON
97426;2017-11-30;1790;97423;LES TROIS BASSINS
97419;2020-06-30;6400;97408;LA POSSESSION
97430;2017-12-31;17910;97422;LE TAMPON
97426;2018-03-31;1780;97423;LES TROIS BASSINS
97419;2021-01-31;6440;97408;LA POSSESSION
97430;2018-02-28;18100;97422;LE TAMPON
97426;2018-08-31;1790;97423;LES TROIS BASSINS
97419;2021-02-28;6400;97408;LA POSSESSION
97430;2018-04-30;17950;97422;LE TAMPON
97426;2018-10-31;1780;97423;LES TROIS BASSINS
97419;2021-04-30;6330;97408;LA POSSESSION
97430;2018-08-31;17930;97422;LE TAMPON
97426;2018-11-30;1770;97423;LES TROIS BASSINS
97419;2021-05-31;6350;97408;LA POSSESSION
97430;2018-11-30;17730;97422;LE TAMPON
97426;2018-12-31;1760;97423;LES TROIS BASSINS
97419;2021-10-31;6500;97408;LA POSSESSION
97430;2019-06-30;17620;97422;LE TAMPON
97426;2019-01-31;1790;97423;LES TROIS BASSINS
97419;2022-02-28;6470;97408;LA POSSESSION
97430;2019-08-31;17830;97422;LE TAMPON
97426;2019-03-31;1820;97423;LES TROIS BASSINS
97419;2022-05-31;6380;97408;LA POSSESSION
97430;2019-10-31;17710;97422;LE TAMPON
97426;2019-08-31;1810;97423;LES TROIS BASSINS
97419;2022-06-30;6400;97408;LA POSSESSION
97430;2019-11-30;17450;97422;LE TAMPON
97426;2019-12-31;1710;97423;LES TROIS BASSINS
97419;2022-07-31;6360;97408;LA POSSESSION
97430;2020-01-31;17540;97422;LE TAMPON
97426;2020-10-31;1740;97423;LES TROIS BASSINS
97419;2022-11-30;6390;97408;LA POSSESSION
97430;2020-04-30;17420;97422;LE TAMPON
97426;2021-01-31;1770;97423;LES TROIS BASSINS
97420;2016-10-31;8630;97407;LE PORT
97430;2020-10-31;17400;97422;LE TAMPON
97426;2021-02-28;1750;97423;LES TROIS BASSINS
97420;2017-03-31;8560;97407;LE PORT
97430;2020-12-31;17370;97422;LE TAMPON
97426;2021-05-31;1760;97423;LES TROIS BASSINS
97420;2017-05-31;8550;97407;LE PORT
97430;2021-01-31;17580;97422;LE TAMPON
97426;2021-08-31;1740;97423;LES TROIS BASSINS
97420;2017-06-30;8510;97407;LE PORT
97430;2021-03-31;17610;97422;LE TAMPON
97426;2021-09-30;1740;97423;LES TROIS BASSINS
97420;2018-03-31;8660;97407;LE PORT
97430;2021-05-31;17430;97422;LE TAMPON
97426;2022-02-28;1730;97423;LES TROIS BASSINS
97420;2018-04-30;8540;97407;LE PORT
97430;2021-06-30;17400;97422;LE TAMPON
97426;2022-04-30;1720;97423;LES TROIS BASSINS
97420;2018-10-31;8670;97407;LE PORT
97430;2021-07-31;17350;97422;LE TAMPON
97426;2022-06-30;1720;97423;LES TROIS BASSINS
97420;2018-11-30;8540;97407;LE PORT
97430;2022-01-31;17250;97422;LE TAMPON
97426;2022-09-30;1750;97423;LES TROIS BASSINS
97420;2019-07-31;8460;97407;LE PORT
97430;2022-06-30;16920;97422;LE TAMPON
97426;2022-10-31;1750;97423;LES TROIS BASSINS
97420;2019-11-30;8300;97407;LE PORT
